"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Isaiah Likely (BAL)","2","3","42","21.0","35","1","2","0","0","0","0","1","16.2","16.2","37.0%"
"2","Juwan Johnson (NO)","8","12","90","11.3","32","1","1","0","0","0","0","1","15.0","15.0","9.5%"
"3","David Njoku (CLE)","6","8","134","22.3","43","3","0","0","0","0","1","1","11.4","11.4","93.6%"
"4","Dallas Goedert (PHI)","5","6","47","9.4","23","1","1","0","0","0","0","1","10.7","10.7","89.3%"
"5","Johnny Mundt (MIN)","4","7","39","9.8","14","0","1","0","0","0","0","1","9.9","9.9","1.5%"
"6","Taysom Hill (NO)","2","2","30","15.0","22","1","1","2","1","0","0","1","9.5","9.5","35.8%"
"7","Dalton Kincaid (BUF)","4","7","87","21.8","51","1","0","0","0","0","0","1","8.7","8.7","86.3%"
"8","Sam LaPorta (DET)","7","12","84","12.0","25","1","0","0","0","0","0","1","8.4","8.4","98.9%"
"9","Brevin Jordan (HOU)","2","2","19","9.5","12","0","1","0","0","0","0","1","7.9","7.9","5.1%"
"10","Charlie Kolar (BAL)","1","1","19","19.0","19","0","1","0","0","0","0","1","7.9","7.9","0.1%"
"11","Tyler Higbee (LAR)","6","7","62","10.3","18","0","0","0","0","0","0","1","6.2","6.2","19.5%"
"12","Evan Engram (JAC)","6","6","60","10.0","22","1","0","0","0","0","0","1","6.0","6.0","96.4%"
"13","Noah Fant (SEA)","5","6","59","11.8","21","1","0","0","0","0","0","1","5.9","5.9","2.2%"
"14","Durham Smythe (MIA)","3","3","54","18.0","22","1","0","0","0","0","0","1","5.4","5.4","0.6%"
"15","Darren Waller (FA)","5","6","51","10.2","18","0","0","0","0","0","0","1","5.1","5.1","45.4%"
"16","Tucker Kraft (GB)","6","6","48","8.0","13","0","0","0","0","0","0","1","4.8","4.8","11.2%"
"17","Trey McBride (ARI)","6","7","48","8.0","26","1","0","0","0","0","0","1","4.8","4.8","91.4%"
"18","Tyler Conklin (NYJ)","5","5","45","9.0","20","1","0","0","0","0","0","1","4.5","4.5","16.7%"
"19","Pat Freiermuth (PIT)","3","4","44","14.7","25","1","0","0","0","0","0","1","4.4","4.4","57.5%"
"20","Robert Tonyan (MIN)","3","4","40","13.3","24","1","0","0","0","0","0","1","4.0","4.0","0.1%"
"21","Daniel Bellinger (NYG)","4","4","39","9.8","18","0","0","0","0","0","0","1","3.9","3.9","0.8%"
"22","Tanner Hudson (CIN)","3","7","38","12.7","15","0","0","0","0","0","0","1","3.8","3.8","2.6%"
"23","Colby Parkinson (LAR)","2","3","38","19.0","20","1","0","0","0","0","0","1","3.8","3.8","0.7%"
"24","Gerald Everett (CHI)","4","9","31","7.8","22","1","0","1","6","0","0","1","3.7","3.7","23.4%"
"25","Mike Gesicki (CIN)","4","6","35","8.8","14","0","0","0","0","0","0","1","3.5","3.5","2.2%"
"26","Chigoziem Okonkwo (TEN)","3","4","34","11.3","21","1","0","0","0","0","0","1","3.4","3.4","23.7%"
"27","Jake Ferguson (DAL)","4","6","33","8.3","9","0","0","0","0","0","0","1","3.3","3.3","89.5%"
"28","George Kittle (SF)","3","4","29","9.7","18","0","0","0","0","0","0","1","2.9","2.9","97.5%"
"29","Austin Hooper (NE)","3","3","28","9.3","13","0","0","0","0","0","0","1","2.8","2.8","0.3%"
"30","Kenny Yeboah (NYJ)","2","3","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","0.0%"
"31","Jordan Akins (CLE)","1","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.1%"
"32","Stone Smartt (LAC)","2","2","23","11.5","18","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"33","Elijah Higgins (ARI)","2","2","21","10.5","14","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"34","Drew Sample (CIN)","3","4","21","7.0","11","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"35","Logan Thomas (SF)","3","4","20","6.7","8","0","0","0","0","0","0","1","2.0","2.0","19.2%"
"36","Dalton Schultz (HOU)","2","4","19","9.5","12","0","0","0","0","0","0","1","1.9","1.9","75.6%"
"37","Will Mallory (IND)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"38","Mo Alie-Cox (IND)","2","3","18","9.0","14","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"39","Josh Oliver (MIN)","1","2","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.6%"
"40","Noah Gray (KC)","3","4","17","5.7","16","0","0","0","0","0","0","1","1.7","1.7","0.8%"
"41","Travis Kelce (KC)","3","4","16","5.3","10","0","0","0","0","0","0","1","1.6","1.6","99.9%"
"42","MyCole Pruitt (PIT)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"43","Lucas Krull (DEN)","2","2","14","7.0","11","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"44","Harrison Bryant (LV)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"45","Foster Moreau (NO)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"46","Kylen Granson (IND)","1","3","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"47","Cade Otton (TB)","2","6","10","5.0","6","0","0","0","0","0","0","1","1.0","1.0","16.5%"
"48","Adam Trautman (DEN)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"49","Julian Hill (MIA)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"50","Luke Farrell (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"51","John Bates (WAS)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"52","Peyton Hendershot (DAL)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"53","Tommy Tremble (CAR)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.3%"
"54","Ben Sims (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"55","Kevin Rader (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"56","Kyle Pitts (ATL)","1","5","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","88.3%"
"57","James Mitchell (DET)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"58","Eric Saubert (SF)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"59","Brenton Strange (JAC)","1","2","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.1%"
"60","Matt Sokol (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Jody Fortson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Donald Parham Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"63","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Parker Hesse (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","69.8%"
"67","Jesper Horsted (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"69","Hakeem Butler (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Albert Okwuegbunam Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"71","T.J. Hockenson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.1%"
"72","Tommy Sweeney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Irv Smith Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"75","Dawson Knox (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.7%"
"76","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"78","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Brycen Hopkins (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Josiah Deguara (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Mitchell Wilcox (NE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Stephen Sullivan (CAR)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"85","Charlie Woerner (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"86","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Lawrence Cager (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Sean McKeon (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Giovanni Ricci (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Luke Schoonmaker (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"94","Cade Stover (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"95","Luke Musgrave (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1%"
"96","Payne Durham (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"97","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Patrick Murtagh (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Griffin Hebert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Kehinde Oginni (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jaheim Bell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"112","Dallin Holker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Leroy Watson IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Tucker Fisk (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"115","Cole Fotheringham (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"120","Jacob Warren (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Jack Westover (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Brenden Bates (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
