"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","8","9","89","11.1","24","2","1","0","0","0","0","1","14.9","14.9","97.5%"
"2","Stone Smartt (LAC)","1","3","51","51.0","51","1","1","0","0","0","0","1","11.1","11.1","0.0%"
"3","Josh Oliver (MIN)","4","4","47","11.8","29","1","1","0","0","0","0","1","10.7","10.7","0.6%"
"4","Dalton Schultz (HOU)","2","3","32","16.0","20","1","1","0","0","0","0","1","9.2","9.2","75.6%"
"5","Travis Kelce (KC)","7","9","44","6.3","13","0","1","0","0","0","1","1","8.4","8.4","99.9%"
"6","Luke Schoonmaker (DAL)","2","2","23","11.5","18","0","1","0","0","0","0","1","8.3","8.3","0.3%"
"7","Tommy Tremble (CAR)","1","3","4","4.0","4","0","1","0","0","0","0","1","6.4","6.4","0.3%"
"8","Donald Parham Jr. (LAC)","4","6","57","14.3","21","1","0","0","0","0","0","1","5.7","5.7","1.1%"
"9","David Njoku (CLE)","7","15","56","8.0","18","0","0","0","0","0","0","1","5.6","5.6","93.6%"
"10","T.J. Hockenson (MIN)","4","7","55","13.8","29","1","0","0","0","0","0","1","5.5","5.5","81.1%"
"11","Tanner Hudson (CIN)","4","4","49","12.3","21","1","0","0","0","0","0","1","4.9","4.9","2.6%"
"12","Cade Otton (TB)","4","5","49","12.3","27","1","0","0","0","0","0","1","4.9","4.9","16.5%"
"13","Dalton Kincaid (BUF)","6","7","46","7.7","16","0","0","0","0","0","0","1","4.6","4.6","86.3%"
"14","Michael Mayer (LV)","4","5","46","11.5","17","0","0","0","0","0","0","1","4.6","4.6","4.4%"
"15","Trey McBride (ARI)","5","7","43","8.6","13","0","0","0","0","0","0","1","4.3","4.3","91.4%"
"16","Daniel Bellinger (NYG)","3","3","38","12.7","26","1","0","0","0","0","0","1","3.8","3.8","0.8%"
"17","Sam LaPorta (DET)","3","5","18","6.0","8","0","0","0","0","0","0","1","3.8","3.8","98.9%"
"18","Logan Thomas (SF)","5","8","58","11.6","29","1","0","0","0","0","1","1","3.8","3.8","19.2%"
"19","Adam Trautman (DEN)","2","2","33","16.5","19","0","0","0","0","0","0","1","3.3","3.3","0.2%"
"20","Tucker Kraft (GB)","2","2","32","16.0","27","1","0","0","0","0","0","1","3.2","3.2","11.2%"
"21","Jake Ferguson (DAL)","3","5","32","10.7","24","1","0","0","0","0","0","1","3.2","3.2","89.5%"
"22","Evan Engram (JAC)","4","6","29","7.3","13","0","0","0","0","0","0","1","2.9","2.9","96.4%"
"23","Luke Musgrave (GB)","4","6","28","7.0","11","0","0","0","0","0","0","1","2.8","2.8","8.1%"
"24","Jeremy Ruckert (NYJ)","3","4","25","8.3","18","0","0","0","0","0","0","1","2.5","2.5","0.2%"
"25","Mark Andrews (BAL)","2","2","23","11.5","14","0","0","0","0","0","0","1","2.3","2.3","73.3%"
"26","Luke Farrell (JAC)","2","2","21","10.5","14","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"27","Cole Kmet (CHI)","3","4","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","69.8%"
"28","Stephen Sullivan (CAR)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.1%"
"29","Drew Sample (CIN)","2","2","19","9.5","13","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"30","Tyler Conklin (NYJ)","2","3","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","16.7%"
"31","Tyler Higbee (LAR)","1","3","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","19.5%"
"32","John Bates (WAS)","2","2","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"33","Geoff Swaim (FA)","2","2","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"34","Payne Durham (TB)","2","2","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"35","Charlie Kolar (BAL)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"36","Quintin Morris (BUF)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"37","Will Dissly (LAC)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"38","Darnell Washington (PIT)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.3%"
"39","Josh Whyle (TEN)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
