"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","9","9","140","15.6","48","2","1","0","0","0","0","1","20.0","20.0","98.9%"
"2","Trey McBride (ARI)","8","9","89","11.1","17","0","1","0","0","0","0","1","14.9","14.9","91.4%"
"3","Evan Engram (JAC)","9","9","82","9.1","22","2","1","0","0","0","0","1","14.2","14.2","96.4%"
"4","Jake Ferguson (DAL)","6","8","77","12.8","17","0","1","0","0","0","0","1","13.7","13.7","89.5%"
"5","Taysom Hill (NO)","2","2","15","7.5","18","0","0","13","59","1","0","1","13.4","13.4","35.8%"
"6","Harrison Bryant (LV)","5","5","49","9.8","23","1","1","0","0","0","0","1","10.9","10.9","0.1%"
"7","Travis Kelce (KC)","4","5","81","20.3","27","3","0","0","0","0","0","1","8.1","8.1","99.9%"
"8","MyCole Pruitt (PIT)","1","1","20","20.0","20","1","1","0","0","0","0","1","8.0","8.0","0.0%"
"9","Kylen Granson (IND)","3","3","72","24.0","46","2","0","1","2","0","0","1","7.4","7.4","0.6%"
"10","George Kittle (SF)","4","6","68","17.0","32","2","0","0","0","0","0","1","6.8","6.8","97.5%"
"11","Jimmy Graham (FA)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.0%"
"12","Chigoziem Okonkwo (TEN)","3","6","62","20.7","39","1","0","1","2","0","0","1","6.4","6.4","23.7%"
"13","Brevin Jordan (HOU)","3","5","64","21.3","27","2","0","0","0","0","0","1","6.4","6.4","5.1%"
"14","Noah Gray (KC)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.8%"
"15","Ben Sims (GB)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.1%"
"16","Kyle Pitts (ATL)","4","8","51","12.8","16","0","0","0","0","0","0","1","5.1","5.1","88.3%"
"17","Gerald Everett (CHI)","4","5","44","11.0","26","1","0","0","0","0","0","1","4.4","4.4","23.4%"
"18","Noah Fant (SEA)","3","4","43","14.3","25","1","0","0","0","0","0","1","4.3","4.3","2.2%"
"19","Tucker Kraft (GB)","3","6","37","12.3","19","0","0","0","0","0","0","1","3.7","3.7","11.2%"
"20","Tanner Hudson (CIN)","4","4","35","8.8","24","1","0","0","0","0","0","1","3.5","3.5","2.6%"
